text,label
what time do you open,hours
what are your business hours,hours
when do you close,hours
are you open on weekends,hours
are you open on saturday,hours
are you open on sunday,hours
what time do you open on weekdays,hours
what are your opening hours,hours
when are you open,hours
do you open early,hours
what time does the salon open,hours
what time does the spa open,hours
are you closed on monday,hours
what are your hours of operation,hours
when can I visit,hours
where are you located,location
what is your address,location
how do I find you,location
where is the salon,location
where is the spa,location
do you have parking,location
is parking available,location
where can I park,location
what street are you on,location
how do I get there,location
are you near downtown,location
what is your location,location
where is your office,location
can you give me directions,location
what city are you in,location
how do I book an appointment,booking
can I make a reservation,booking
how do I schedule an appointment,booking
do you accept walk ins,booking
can I walk in without an appointment,booking
how early should I arrive,booking
do I need to book in advance,booking
can I book online,booking
how do I reserve a spot,booking
is an appointment required,booking
can I schedule online,booking
how do I make a booking,booking
do you take appointments,booking
can I call to book,booking
what is your cancellation policy,policy
can I cancel my appointment,policy
what happens if I cancel late,policy
do you charge for late cancellation,policy
what is your late arrival policy,policy
what if I arrive late,policy
are your products cruelty free,policy
do you use cruelty free products,policy
what is your refund policy,policy
can I reschedule my appointment,policy
how much notice do I need to cancel,policy
is there a cancellation fee,policy
what are your terms and conditions,policy
do you have a no show policy,policy
what services do you offer,services
do you offer haircuts,services
do you offer colour services,services
do you do highlights,services
what types of massages do you offer,services
do you sell gift cards,services
can I buy a gift card,services
what treatments are available,services
do you do balayage,services
what hair services do you have,services
do you offer deep tissue massage,services
what packages do you offer,services
do you have spa packages,services
what beauty services are available,services
what payment methods do you accept,payment
do you accept credit cards,payment
do you accept visa,payment
do you accept mastercard,payment
can I pay with debit,payment
do you take cash,payment
do you accept american express,payment
how can I pay,payment
what cards do you take,payment
is cash accepted,payment
can I pay by card,payment
do you accept contactless payment,payment
what forms of payment are accepted,payment
